id,db_id,name,kind,frame_key,archive,frame_index,resolution
1,1,"Milk, NFS",usda,"Milk, NFS",1,1270,direct
,2,"Milk, whole",dravya,"Milk, whole",1,7850,direct
3,3,"Milk, reduced fat (2%)",usda,"Milk, reduced fat (2%)",1,1236,direct
4,4,"Milk, low fat (1%)",usda,"Milk, low fat (1%)",1,6875,direct
,5,"Milk, fat free (skim)",dravya,"Milk, fat free (skim)",1,6163,direct
6,6,"Milk, lactose free, low fat (1%)",usda,"Milk, lactose free, low fat (1%)",1,6718,direct
7,7,"Milk, lactose free, fat free (skim)",usda,"Milk, lactose free, fat free (skim)",1,3352,direct
8,8,"Milk, lactose free, reduced fat (2%)",usda,"Milk, lactose free, reduced fat (2%)",1,3356,direct
9,9,"Milk, lactose free, whole",usda,"Milk, lactose free, whole",1,4127,direct
,10,Buttermilk,dravya,Buttermilk,1,12292,direct
,11,Kefir,dravya,Kefir,1,12004,direct
,12,Goat milk,dravya,Goat milk,1,6151,direct
13,13,"Milk, dry, reconstituted, nonfat",usda,"Milk, dry, reconstituted, nonfat",1,3529,direct
14,14,"Milk, dry, reconstituted, whole",usda,"Milk, dry, reconstituted, whole",1,7905,direct
15,15,"Milk, evaporated, NS as to fat content",usda,"Milk, evaporated, NS as to fat content",1,10338,direct
16,16,"Milk, evaporated, whole",usda,"Milk, evaporated, whole",1,12420,direct
17,17,"Milk, evaporated, reduced fat (2%)",usda,"Milk, evaporated, reduced fat (2%)",1,3355,direct
18,18,"Milk, evaporated, fat free (skim)",usda,"Milk, evaporated, fat free (skim)",1,13029,direct
,19,"Milk, condensed, sweetened",dravya,"Milk, condensed, sweetened",1,9368,direct
20,20,"Non-dairy milk, NFS",usda,"Non-dairy milk, NFS",1,6158,direct
21,21,"Soy milk, sweetened",usda,"Soy milk, sweetened",1,8834,direct
22,22,"Soy milk, unsweetened",usda,"Soy milk, unsweetened",1,12419,direct
23,23,"Soy milk, chocolate",usda,"Soy milk, chocolate",1,12597,direct
24,24,"Almond milk, sweetened",usda,"Almond milk, sweetened",1,9358,direct
25,25,"Almond milk, chocolate",usda,"Almond milk, chocolate",1,5960,direct
26,26,"Almond milk, unsweetened",usda,"Almond milk, unsweetened",1,11925,direct
,27,"Almond milk, NFS",dravya,"Almond milk, NFS",1,1647,direct
28,28,Rice milk,usda,Rice milk,1,6150,direct
,29,Oat milk,dravya,Oat milk,1,8760,direct
30,30,Coconut milk,usda,Coconut milk,1,12299,direct
31,31,"Yogurt, NFS",usda,"Yogurt, NFS",1,7016,direct
32,32,"Yogurt, Greek, NS as to type of milk or flavor",usda,"Yogurt, Greek, NS as to type of milk or flavor",1,10344,direct
33,33,"Yogurt, NS as to type of milk or flavor",usda,"Yogurt, NS as to type of milk or flavor",1,12972,direct
34,34,"Yogurt, NS as to type of milk, plain",usda,"Yogurt, NS as to type of milk, plain",1,1985,direct
,35,"Yogurt, whole milk, plain",dravya,"Yogurt, whole milk, plain",1,1986,direct
36,36,"Yogurt, low fat milk, plain",usda,"Yogurt, low fat milk, plain",1,5189,direct
37,37,"Yogurt, nonfat milk, plain",usda,"Yogurt, nonfat milk, plain",1,13040,direct
